id,name,alt_name,region,country,latitude,longitude
NO107,Eide,,Møre og Romsdal,NO,62.9157,7.4450
NO108,Eidsvåg,,Møre og Romsdal,NO,62.7766,8.0655
NO109,Elnesvågen,,Møre og Romsdal,NO,62.8543,7.1377
NO110,Fræna,,Møre og Romsdal,NO,62.8538,7.1538
NO111,Giske,,Møre og Romsdal,NO,62.5007,6.1347
NO112,Gjemnes,,Møre og Romsdal,NO,62.8938,7.6771
NO113,Halsa,,Møre og Romsdal,NO,63.1186,8.3154
NO114,Haram,,Møre og Romsdal,NO,62.5990,6.4448
NO115,Hareid,,Møre og Romsdal,NO,62.3674,6.0211
NO116,Herøy,,Møre og Romsdal,NO,62.3333,5.6360
NO117,Hjelset,,Møre og Romsdal,NO,62.7805,7.4928
NO118,Hopen,,Møre og Romsdal,NO,63.4654,8.0144
NO119,Kristiansund,,Møre og Romsdal,NO,63.1115,7.7320
NO120,Larsnes,,Møre og Romsdal,NO,62.2028,5.5773
NO121,Midsund,,Møre og Romsdal,NO,62.6761,6.6778
NO122,Molde,,Møre og Romsdal,NO,62.7381,7.1588
NO123,Nesset,,Møre og Romsdal,NO,62.7762,8.0662
NO124,Norddal,,Møre og Romsdal,NO,62.2991,7.2615
NO125,Nordstranda,,Møre og Romsdal,NO,62.5138,6.1317
NO126,Ørskog,,Møre og Romsdal,NO,62.4845,6.8203
NO127,Ørsta,,Møre og Romsdal,NO,62.1994,6.1308
NO128,Rauma,,Møre og Romsdal,NO,62.5681,7.6861
NO129,Rensvik,,Møre og Romsdal,NO,63.0984,7.8203
NO130,Sande,,Møre og Romsdal,NO,62.2046,5.5797
NO131,Sandøy,,Møre og Romsdal,NO,62.7817,6.4688
NO132,Sjøholt,,Møre og Romsdal,NO,62.4826,6.8138
NO133,Skodje,,Møre og Romsdal,NO,62.5031,6.6982
NO134,Smøla,,Møre og Romsdal,NO,63.4653,8.0181
NO135,Steinshamn,,Møre og Romsdal,NO,62.7839,6.4707
NO136,Stordal,,Møre og Romsdal,NO,62.3821,6.9871
NO137,Stranda,,Møre og Romsdal,NO,62.3113,6.9312
NO138,Sula,,Møre og Romsdal,NO,62.4445,6.2123
NO139,Sunndal,,Møre og Romsdal,NO,62.6746,8.5619
NO140,Sunndalsøra,,Møre og Romsdal,NO,62.6752,8.5633
NO141,Surnadal,,Møre og Romsdal,NO,62.9753,8.7249
NO142,Sykkylven,,Møre og Romsdal,NO,62.3896,6.5783
NO143,Tingvoll,,Møre og Romsdal,NO,62.9119,8.2067
NO144,Tomra,,Møre og Romsdal,NO,62.5812,6.9311
NO145,Ulstein,,Møre og Romsdal,NO,62.3442,5.8524
NO146,Ulsteinvik,,Møre og Romsdal,NO,62.3432,5.8487
NO147,Ulsteinvik weather pws station,,Møre og Romsdal,NO,62.3434,5.8439
NO148,Vanylven,,Møre og Romsdal,NO,62.1000,5.5583
NO149,Vatne,,Møre og Romsdal,NO,62.5583,6.6171
NO150,Vestnes,,Møre og Romsdal,NO,62.6213,7.0897
NO151,Volda,,Møre og Romsdal,NO,62.1468,6.0680
NO152,Alstahaug,,Nordland,NO,65.9756,12.5684
NO153,Andenes,,Nordland,NO,69.3143,16.1194
NO154,Andøy,,Nordland,NO,69.0803,15.7764
NO155,Ballangen,,Nordland,NO,68.3437,16.8332
NO156,Beiarn,,Nordland,NO,67.0073,14.5730
NO157,Bindal,,Nordland,NO,65.0878,12.3775
NO158,Bjerkvik,,Nordland,NO,68.5492,17.5571
NO159,Bodø,,Nordland,NO,67.2833,14.3832
NO160,Bogen,,Nordland,NO,68.5265,16.9928
NO161,Bø,,Nordland,NO,68.6882,14.4790
NO162,Brønnøy,,Nordland,NO,65.4679,12.2063
NO163,Brønnøysund,,Nordland,NO,65.4749,12.2129
NO164,Dønna,,Nordland,NO,66.1061,12.4819
NO165,Evenes,,Nordland,NO,68.5233,17.0089
NO166,Evjen,,Nordland,NO,68.2667,13.7333
NO167,Fauske,,Nordland,NO,67.2596,15.3941
NO168,Flakstad,,Nordland,NO,68.0929,13.2331
NO169,Gildeskål,,Nordland,NO,67.0339,14.0258
NO170,Gladstad,,Nordland,NO,65.6768,11.9622
NO171,Glomfjord,,Nordland,NO,66.8166,13.9440
NO172,Grane,,Nordland,NO,65.5387,13.3850
NO173,Gravdal,,Nordland,NO,68.1183,13.5534
NO174,Hadsel,,Nordland,NO,68.5633,14.9084
NO175,Hamarøy,,Nordland,NO,68.0838,15.6167
NO176,Hattfjelldal,,Nordland,NO,65.5977,13.9895
NO177,Hauknes,,Nordland,NO,66.2833,14.0667
NO178,Hemnes,,Nordland,NO,66.0771,13.8135
NO179,Hemnesberget,,Nordland,NO,66.2249,13.6164
NO180,Herøy,,Nordland,NO,65.9843,12.2892
NO181,Inndyr,,Nordland,NO,67.0335,14.0266
NO182,Kabelvåg,,Nordland,NO,68.2107,14.4755
NO183,Kjøpsvik,,Nordland,NO,68.0970,16.3742
NO184,Korgen,,Nordland,NO,66.0766,13.8216
NO185,Leirfjord,,Nordland,NO,66.0635,12.9367
NO186,Leknes,,Nordland,NO,68.1475,13.6115
NO187,Leland,,Nordland,NO,66.0641,12.9433
NO188,Løding,,Nordland,NO,67.3006,14.7385
NO189,Lødingen,,Nordland,NO,68.4100,15.9901
NO190,Løpsmarka,,Nordland,NO,67.3134,14.4493
NO191,Lurøy,,Nordland,NO,66.4189,12.8425
NO192,Melbu,,Nordland,NO,68.5025,14.7996
NO193,Meløy,,Nordland,NO,66.8720,13.7076
NO194,Mo i Rana,,Nordland,NO,66.3128,14.1428
NO195,Mosjøen,,Nordland,NO,65.8360,13.1908
NO196,Moskenes,,Nordland,NO,67.9347,13.0911
NO197,Myre,,Nordland,NO,68.9140,15.0784
NO198,Narvik,,Nordland,NO,68.4390,17.4278
NO199,Nesna,,Nordland,NO,66.1980,13.0223
NO200,Øksnes,,Nordland,NO,68.9146,15.0870
NO201,Ørnes,,Nordland,NO,66.8688,13.7058
NO202,Rana,,Nordland,NO,66.3112,14.1400
NO203,Reine,,Nordland,NO,67.9325,13.0896
NO204,Rognan,,Nordland,NO,67.1002,15.3909
NO205,Rødøy,,Nordland,NO,66.7120,13.2853
NO206,Røst,,Nordland,NO,67.5173,12.1156
NO207,Saltdal,,Nordland,NO,67.1014,15.3946
NO208,Sandnessjøen,,Nordland,NO,66.0217,12.6316
NO209,Sortland,,Nordland,NO,68.6962,15.4117
NO210,Sømna,,Nordland,NO,65.3138,12.1673
NO211,Sørfold,,Nordland,NO,67.3480,15.5945
NO212,Sørland,,Nordland,NO,67.6656,12.6978
NO213,Steigen,,Nordland,NO,67.7763,15.0162
NO214,Stokmarknes,,Nordland,NO,68.5646,14.9108
NO215,Straume,,Nordland,NO,68.6888,14.4721
NO216,Straumen,,Nordland,NO,67.3477,15.6049
NO217,Svolvær,,Nordland,NO,68.2342,14.5683
NO218,Terråk,,Nordland,NO,65.0870,12.3715
NO219,Tjeldsund,,Nordland,NO,68.5556,16.3617
NO220,Træna,,Nordland,NO,66.5016,12.0965
NO221,Trofors,,Nordland,NO,65.5334,13.4063
NO222,Tysfjord,,Nordland,NO,68.0977,16.3759
NO223,Vågan,,Nordland,NO,68.2322,14.5623
NO224,Værøy,,Nordland,NO,67.6637,12.6934
NO225,Vefsn,,Nordland,NO,65.8411,13.2002
NO226,Vega,,Nordland,NO,65.6754,11.9646
NO227,Vestvågøy,,Nordland,NO,68.1483,13.6112
NO228,Vevelstad,,Nordland,NO,65.7000,12.4392
NO229,Vik,,Nordland,NO,65.3125,12.1673
NO230,Oslo,,Oslo,NO,59.9127,10.7461
NO231,Sjølyststranda,,Oslo,NO,59.9211,10.6802
NO232,Åkrehamn,,Rogaland,NO,59.2605,5.1869
NO233,Bjerkreim,,Rogaland,NO,58.6305,6.0813
NO234,Bokn,,Rogaland,NO,59.2306,5.4352
NO235,Bryne,,Rogaland,NO,58.7354,5.6477
NO236,Egersund,,Rogaland,NO,58.4513,5.9997
NO237,Eigersund,,Rogaland,NO,58.4524,6.0031
NO238,Eike,,Rogaland,NO,59.3983,5.3639
NO239,Finnøy,,Rogaland,NO,59.1712,5.8740
NO240,Forsand,,Rogaland,NO,58.8993,6.0964
NO241,Gjesdal,,Rogaland,NO,58.7648,5.8550
NO242,Hå,,Rogaland,NO,58.6161,5.6450
NO243,Hauge i Dalane,,Rogaland,NO,58.3436,6.2812
NO244,Haugesund,,Rogaland,NO,59.4102,5.2755
NO245,Hjelmeland,,Rogaland,NO,59.2367,6.1791
NO246,Hommersåk,,Rogaland,NO,58.9256,5.8510
NO247,Jørpeland,,Rogaland,NO,59.0225,6.0408
NO248,Judaberg,,Rogaland,NO,59.1720,5.8762
NO249,Karmøy,,Rogaland,NO,59.2808,5.3053
NO250,Klepp,,Rogaland,NO,58.7766,5.6301
NO251,Kopervik,,Rogaland,NO,59.2835,5.3067
NO252,Kvitsøy,,Rogaland,NO,59.0647,5.4054
NO253,Lund,,Rogaland,NO,58.4572,6.5487
NO254,Lyefjell,,Rogaland,NO,58.7354,5.7362
NO255,Moi,,Rogaland,NO,58.4567,6.5518
NO256,Nærbø,,Rogaland,NO,58.6655,5.6379
NO257,Ølen,,Rogaland,NO,59.6044,5.8080
NO258,Randaberg,,Rogaland,NO,58.9987,5.6206
NO259,Rennesøy,,Rogaland,NO,59.0990,5.6997
NO260,Sandnes,,Rogaland,NO,58.8476,5.7286
NO261,Sauda,,Rogaland,NO,59.6507,6.3531
NO262,Sæveland,,Rogaland,NO,59.2667,5.2000
NO263,Skudeneshavn,,Rogaland,NO,59.1486,5.2569
NO264,Sokndal,,Rogaland,NO,58.3426,6.2943
NO265,Sola,,Rogaland,NO,58.8881,5.6473
NO266,Stavanger,,Rogaland,NO,58.9694,5.7286
NO267,Strand,,Rogaland,NO,59.0235,6.0434
NO268,Suldal,,Rogaland,NO,59.4857,6.2522
NO269,Tananger,,Rogaland,NO,58.9362,5.5741
NO270,Tau,,Rogaland,NO,59.0648,5.9225
NO271,Time,,Rogaland,NO,58.7364,5.6530
NO272,Tysvær,,Rogaland,NO,59.4216,5.4478
NO273,Utsira,,Rogaland,NO,59.3057,4.8862
NO274,Varhaug,,Rogaland,NO,58.6181,5.6570
NO275,Vedavågen,,Rogaland,NO,59.2948,5.2187
NO276,Vigrestad,,Rogaland,NO,58.5710,5.6818
NO277,Vikeså,,Rogaland,NO,58.6376,6.0913
NO278,Vikevåg,,Rogaland,NO,59.0975,5.6979
NO279,Vindafjord,,Rogaland,NO,59.6054,5.8078
NO280,Vormedal,,Rogaland,NO,59.3561,5.3196
NO281,Alta,,Troms og Finnmark,NO,69.9768,23.2963
NO282,Ávanuorri,,Troms og Finnmark,NO,70.9963,24.6622
NO283,Balsfjord,,Troms og Finnmark,NO,69.2402,19.2265
NO284,Bardu,,Troms og Finnmark,NO,68.8606,18.3505
NO285,Båtsfjord,,Troms og Finnmark,NO,70.6343,29.7175
NO286,Berg,,Troms og Finnmark,NO,69.4444,17.2995
NO287,Berlevåg,,Troms og Finnmark,NO,70.8578,29.0864
NO288,Bjørnevatn,,Troms og Finnmark,NO,69.6675,29.9872
NO289,Borkenes,,Troms og Finnmark,NO,68.7726,16.1712
NO290,Dyrøy,,Troms og Finnmark,NO,69.0915,17.6909
NO291,Evenskjer,,Troms og Finnmark,NO,68.5828,16.5720
NO292,Finnsnes,,Troms og Finnmark,NO,69.2296,17.9811
NO293,Gamvik,,Troms og Finnmark,NO,71.0411,27.8514
NO294,Gratangen,,Troms og Finnmark,NO,68.6927,17.5319
NO295,Gryllefjord,,Troms og Finnmark,NO,69.3630,17.0528
NO296,Hammerfest,,Troms og Finnmark,NO,70.6626,23.6830
NO297,Hansnes,,Troms og Finnmark,NO,69.9670,19.6275
NO298,Harstad,,Troms og Finnmark,NO,68.7990,16.5293
NO299,Hasvik,,Troms og Finnmark,NO,70.5916,22.3027
NO300,Honningsvåg,,Troms og Finnmark,NO,70.9821,25.9704
NO301,Ibestad,,Troms og Finnmark,NO,68.7787,17.1766
NO302,Kåfjord,,Troms og Finnmark,NO,69.6040,20.5346
NO303,Kárášjohka,,Troms og Finnmark,NO,69.4719,25.5112
NO304,Karasjok,,Troms og Finnmark,NO,69.4722,25.5189
NO305,Karlsøy,,Troms og Finnmark,NO,69.9619,19.6181
NO306,Kautokeino,,Troms og Finnmark,NO,69.0115,23.0415
NO307,Kirkenes,,Troms og Finnmark,NO,69.7271,30.0458
NO308,Kjøllefjord,,Troms og Finnmark,NO,70.9457,27.3465
NO309,Kvalsund,,Troms og Finnmark,NO,70.4991,23.9739
NO310,Kvæfjord,,Troms og Finnmark,NO,68.7720,16.1729
NO311,Kvænangen,,Troms og Finnmark,NO,69.9389,22.0494
NO312,Lakselv,,Troms og Finnmark,NO,70.0513,24.9718
NO313,Lavangen,,Troms og Finnmark,NO,68.7472,17.8056
NO314,Lebesby,,Troms og Finnmark,NO,70.9454,27.3513
NO315,Lenvik,,Troms og Finnmark,NO,69.2311,17.9874
NO316,Loppa,,Troms og Finnmark,NO,70.2395,22.3514
NO317,Lyngen,,Troms og Finnmark,NO,69.5762,20.2170
NO318,Lyngseidet,,Troms og Finnmark,NO,69.5763,20.2189
NO319,Målselv,,Troms og Finnmark,NO,69.1239,18.6150
NO320,Måsøy,,Troms og Finnmark,NO,70.9965,24.6615
NO321,Mehamn,,Troms og Finnmark,NO,71.0414,27.8513
NO322,Moen,,Troms og Finnmark,NO,69.1304,18.6123
NO323,Nesseby,,Troms og Finnmark,NO,69.8854,28.4337
NO324,Nordkapp,,Troms og Finnmark,NO,70.9781,25.9747
NO325,Nordreisa,,Troms og Finnmark,NO,69.7683,21.0257
NO326,Olderdalen,,Troms og Finnmark,NO,69.6041,20.5327
NO327,Øksfjord,,Troms og Finnmark,NO,70.2394,22.3507
