id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
ON80,Allenwood Beach,,Ontario,CA,44.5736,-79.9917,ardac,429.6,False
ON81,Allimil,,Ontario,CA,44.111,-79.7929,ardac,424.1,False
ON82,Allisonville,,Ontario,CA,44.0298,-77.3676,ardac,240.3,False
ON83,Alliston,,Ontario,CA,44.1536,-79.8642,ardac,428.5,False
ON84,Alloa,,Ontario,CA,43.7044,-79.8564,ardac,442.7,False
ON85,Allsaw,,Ontario,CA,44.9889,-78.6111,ardac,314.1,False
ON86,Alma,,Ontario,CA,43.7303,-80.5024,ardac,492.0,False
ON87,Alma Station,,Ontario,CA,43.725,-80.495,ardac,491.6,False
ON88,Almira,,Ontario,CA,43.9322,-79.3367,ardac,394.0,False
ON89,Almonte,,Ontario,CA,45.2249,-76.1951,ardac,121.7,False
ON90,Alpine Village,,Ontario,CA,44.5764,-78.4719,ardac,307.6,False
ON91,Alpine Village,,Ontario,CA,43.4236,-80.4803,ardac,502.0,False
ON92,Alport,,Ontario,CA,45.0224,-79.3535,ardac,373.8,False
ON93,Alsace,,Ontario,CA,46.0336,-79.5439,ardac,401.2,False
ON94,Alsfeldt,,Ontario,CA,44.0103,-80.9429,ardac,518.1,False
ON95,Alsops Beach,,Ontario,CA,44.4472,-79.1575,ardac,365.1,False
ON96,Alta Vista,,Ontario,CA,45.3864,-75.6581,ardac,86.8,True
ON97,Althorpe,,Ontario,CA,44.7575,-76.4754,ardac,144.8,False
ON98,Alton,,Ontario,CA,43.8593,-80.0689,ardac,453.6,False
ON99,Altona,,Ontario,CA,43.9764,-79.1969,ardac,381.5,False
ON100,Alva,,Ontario,CA,47.0421,-84.0288,ardac,491.8,False
ON101,Alvanley,,Ontario,CA,44.5391,-81.1199,ardac,520.9,False
ON102,Alvinston,,Ontario,CA,42.8261,-81.8639,ardac,633.9,False
ON103,Amaranth Station,,Ontario,CA,43.9028,-80.2356,ardac,465.3,False
ON104,Ambassador Beach,,Ontario,CA,42.0131,-82.9855,ardac,758.3,False
ON105,Amberley,,Ontario,CA,44.0431,-81.7164,ardac,578.9,False
ON106,Ambleside,,Ontario,CA,44.0126,-81.1993,ardac,538.5,False
ON107,Ameliasburg,,Ontario,CA,44.0591,-77.4349,ardac,243.8,False
ON108,Amesdale,,Ontario,CA,50.0158,-92.9343,ardac,752.5,False
ON109,Ameson,,Ontario,CA,49.8061,-84.5678,ardac,288.5,False
ON110,Amethyst Harbour,,Ontario,CA,48.5427,-88.8729,ardac,633.4,False
ON111,Amherst Pointe,,Ontario,CA,42.0558,-83.1147,ardac,765.8,False
ON112,Amherstburg,,Ontario,CA,42.1042,-83.1035,ardac,762.5,False
ON113,Amherstburg,,Ontario,CA,42.1172,-83.0442,ardac,757.4,False
ON114,Amherstview,,Ontario,CA,44.2233,-76.6454,ardac,178.1,False
ON115,Amigari Downs,,Ontario,CA,42.9294,-78.9453,ardac,414.1,False
ON116,Amigo Beach,,Ontario,CA,44.6864,-79.3925,ardac,379.7,False
ON117,Amulree,,Ontario,CA,43.425,-80.8383,ardac,529.5,False
ON118,Amwri,,Ontario,CA,48.8092,-85.8771,ardac,429.3,False
ON119,Amyot,,Ontario,CA,48.4831,-84.9536,ardac,401.4,False
ON120,Ancaster,,Ontario,CA,43.2092,-80.0119,ardac,475.9,False
ON121,Ancaster Heights,,Ontario,CA,43.2375,-79.9644,ardac,471.0,False
ON122,Ancliff,,Ontario,CA,48.7017,-88.5825,ardac,606.0,False
ON123,Ancona Point,,Ontario,CA,44.5032,-78.6144,ardac,320.5,False
ON124,Anderson,,Ontario,CA,43.3153,-81.244,ardac,565.3,False
ON125,Anderson,,Ontario,CA,44.2022,-76.9282,ardac,199.7,False
ON126,Anderson Lake,,Ontario,CA,46.2306,-81.7332,ardac,525.3,False
ON127,Anderson Lake Station,,Ontario,CA,46.2264,-81.7115,ardac,525.2,False
ON128,Andrewsville,,Ontario,CA,44.9518,-75.8204,ardac,89.4,True
ON129,Andy's Corners,,Ontario,CA,42.7631,-80.5939,ardac,541.6,False
ON130,Angling Lake,,Ontario,CA,53.8448,-89.531,ardac,269.7,False
ON131,Angus,,Ontario,CA,44.319,-79.8789,ardac,425.5,False
ON132,Anjigami,,Ontario,CA,47.8832,-84.5418,ardac,432.6,False
ON133,Annable Settlement,,Ontario,CA,45.1063,-75.3568,ardac,53.1,True
ON134,Annan,,Ontario,CA,44.6157,-80.8538,ardac,498.4,False
ON135,Annex,,Ontario,CA,48.6194,-90.0081,ardac,702.5,False
ON136,Anoma Lea,,Ontario,CA,44.6381,-75.9219,ardac,105.4,False
ON137,Ansnorveldt,,Ontario,CA,44.0802,-79.54,ardac,405.0,False
ON138,Anson,,Ontario,CA,44.2981,-77.5975,ardac,246.2,False
ON139,Ansonia,,Ontario,CA,46.3166,-83.6095,ardac,552.1,False
ON140,Ansonville,,Ontario,CA,48.7564,-80.6861,ardac,238.3,False
ON141,Anstice,,Ontario,CA,46.9017,-81.0286,ardac,438.8,False
ON142,Anstruther Lake,,Ontario,CA,44.7354,-78.2001,ardac,283.2,False
ON143,Anten Mills,,Ontario,CA,44.4822,-79.8292,ardac,418.1,False
ON144,Anthony,,Ontario,CA,48.5382,-80.5935,ardac,258.0,False
ON145,Antrim,,Ontario,CA,45.3681,-76.2281,ardac,128.1,False
ON146,Appelo,,Ontario,CA,47.1983,-81.4019,ardac,417.1,False
ON147,Appin,,Ontario,CA,42.7958,-81.6492,ardac,618.9,False
ON148,Apple Hill,,Ontario,CA,45.2208,-74.7703,ardac,21.6,True
ON149,Appleby,,Ontario,CA,43.3778,-79.7743,ardac,450.2,False
ON150,Appledore,,Ontario,CA,42.5219,-82.1433,ardac,669.4,False
ON151,Appleton,,Ontario,CA,45.1819,-76.124,ardac,115.2,False
ON152,Applewood Acres,,Ontario,CA,45.385,-75.6692,ardac,87.5,True
ON153,Applewood Acres,,Ontario,CA,43.5922,-79.5781,ardac,425.8,False
ON154,Applewood Heights,,Ontario,CA,43.6072,-79.595,ardac,426.5,False
ON155,Applewood Hills,,Ontario,CA,43.6183,-79.6022,ardac,426.6,False
ON156,Apsley,,Ontario,CA,44.755,-78.0867,ardac,273.8,False
ON157,Apto,,Ontario,CA,44.5094,-79.8033,ardac,415.6,False
ON158,Arbeatha Park,,Ontario,CA,45.3164,-75.8217,ardac,95.5,True
ON159,Arbor Vitae,,Ontario,CA,48.8979,-94.2943,ardac,893.3,False
ON160,Archer,,Ontario,CA,44.9889,-75.1072,ardac,31.8,True
ON161,Ardbeg,,Ontario,CA,45.6408,-80.08,ardac,435.2,False
ON162,Arden,,Ontario,CA,44.7208,-76.9244,ardac,181.2,False
ON163,Ardendale,,Ontario,CA,44.7217,-76.9444,ardac,182.8,False
ON164,Ardmore Beach,,Ontario,CA,44.7011,-80.0058,ardac,428.9,False
ON165,Ardoch,,Ontario,CA,44.9303,-76.9072,ardac,177.1,False
ON166,Ardtrea,,Ontario,CA,44.6867,-79.4025,ardac,380.5,False
ON167,Argolis,,Ontario,CA,48.6883,-83.4486,ardac,313.2,False
ON168,Argon,,Ontario,CA,48.8931,-90.0091,ardac,684.6,False
ON169,Argyle,,Ontario,CA,44.4507,-79.0172,ardac,353.8,False
ON170,Ariss,,Ontario,CA,43.5753,-80.365,ardac,487.0,False
ON171,Arkell,,Ontario,CA,43.5365,-80.1677,ardac,473.3,False
ON172,Arklan,,Ontario,CA,45.0872,-76.3461,ardac,131.8,False
ON173,Arkona,,Ontario,CA,43.0831,-81.8261,ardac,619.8,False
ON174,Arkwood,,Ontario,CA,42.4813,-82.1218,ardac,669.8,False
ON175,Arkwright,,Ontario,CA,44.4531,-81.2158,ardac,530.0,False
ON176,Arlington Woods,,Ontario,CA,45.323,-75.7876,ardac,93.2,True
ON177,Armadale,,Ontario,CA,43.8372,-79.2579,ardac,391.4,False
ON178,Armbro Heights,,Ontario,CA,43.6703,-79.7468,ardac,435.5,False
ON179,Armitage,,Ontario,CA,44.0336,-79.4761,ardac,401.4,False
ON180,Armour Heights,,Ontario,CA,43.7433,-79.43,ardac,408.3,False
ON181,Armow,,Ontario,CA,44.1928,-81.5139,ardac,559.2,False
ON182,Arms,,Ontario,CA,49.5678,-86.0119,ardac,393.8,False
ON183,Armstrong,,Ontario,CA,50.3049,-89.0418,ardac,544.3,False
ON184,Armstrong Mills,,Ontario,CA,43.6292,-80.2614,ardac,476.9,False
ON185,Armstrong Station,,Ontario,CA,50.3009,-89.0421,ardac,544.5,False
ON186,Armstrongs Corners,,Ontario,CA,44.9331,-76.305,ardac,128.6,False
ON187,Arner,,Ontario,CA,42.0319,-82.8239,ardac,745.3,False
ON188,Arnott,,Ontario,CA,44.43,-80.855,ardac,501.5,False
ON189,Arnprior,,Ontario,CA,45.4347,-76.3581,ardac,140.2,False
ON190,Arnstein,,Ontario,CA,45.9217,-79.933,ardac,428.5,False
ON191,Aroland,,Ontario,CA,50.2321,-86.96,ardac,417.6,False
ON192,Arpin,,Ontario,CA,48.9294,-80.7236,ardac,222.3,False
ON193,Arranvale,,Ontario,CA,44.4526,-81.1455,ardac,524.4,False
ON194,Arthur,,Ontario,CA,43.8327,-80.5379,ardac,491.4,False
ON195,Arthur's Corners,,Ontario,CA,42.9042,-80.5747,ardac,532.9,False
ON196,Arva,,Ontario,CA,43.05,-81.2936,ardac,580.3,False
ON197,Ascalon,,Ontario,CA,46.0742,-78.8053,ardac,346.5,False
ON198,Ash,,Ontario,CA,43.4388,-79.8161,ardac,450.6,False
ON199,Ashburn,,Ontario,CA,44.0025,-78.9952,ardac,364.9,False
ON200,Ashburnham,,Ontario,CA,44.3031,-78.3086,ardac,301.4,False
ON201,Ashburton,,Ontario,CA,46.5164,-80.015,ardac,451.8,False
ON202,Ashby Lake,,Ontario,CA,45.0831,-77.2886,ardac,207.6,False
ON203,Ashby Mill,,Ontario,CA,44.4677,-77.8255,ardac,258.7,False
ON204,Ashdad,,Ontario,CA,45.35,-76.7517,ardac,168.1,False
ON205,Ashdale,,Ontario,CA,45.3,-75.7,ardac,85.8,True
ON206,Ashgrove,,Ontario,CA,43.6086,-79.8944,ardac,449.4,False
ON207,Ashton,,Ontario,CA,45.1572,-76.0319,ardac,107.5,False
ON208,Ashton Station,,Ontario,CA,45.1736,-76.0542,ardac,109.5,False
ON209,Ashworth,,Ontario,CA,45.3492,-79.4021,ardac,378.4,False
ON210,Aspdin,,Ontario,CA,45.2978,-79.3708,ardac,375.5,False
ON211,Asselstine,,Ontario,CA,44.2443,-76.7313,ardac,183.2,False
ON212,Assumption,,Ontario,CA,44.2708,-78.2678,ardac,299.2,False
ON213,Astorville,,Ontario,CA,46.1858,-79.2794,ardac,385.7,False
ON214,Atha Road,,Ontario,CA,43.944,-79.1709,ardac,380.6,False
ON215,Athens,,Ontario,CA,44.6316,-75.9463,ardac,107.5,False
ON216,Atherley,,Ontario,CA,44.6012,-79.3612,ardac,378.5,False
ON217,Atherton,,Ontario,CA,42.8225,-80.4491,ardac,527.8,False
ON218,Athlone,,Ontario,CA,44.0354,-79.8869,ardac,433.7,False
ON219,Athol,,Ontario,CA,45.3201,-74.8936,ardac,35.8,True
ON220,Athol,,Ontario,CA,43.9218,-77.2296,ardac,236.0,False
ON221,Atikokan,,Ontario,CA,48.7583,-91.6133,ardac,791.6,False
ON222,Atironto,,Ontario,CA,44.9031,-76.0072,ardac,104.9,False
ON223,Atkinson,,Ontario,CA,44.3872,-76.2771,ardac,143.2,False
ON224,Attawapiskat,,Ontario,CA,52.9225,-82.4253,ardac,9.8,True
ON225,Attercliffe,,Ontario,CA,42.9922,-79.5861,ardac,455.8,False
ON226,Attercliffe Station,,Ontario,CA,42.9687,-79.5924,ardac,457.5,False
ON227,Atwood,,Ontario,CA,43.6692,-81.0189,ardac,534.6,False
ON228,Auburn,,Ontario,CA,43.7726,-81.5336,ardac,571.9,False
ON229,Auburn Mills,,Ontario,CA,44.3158,-78.3081,ardac,301.0,False
ON230,Auden,,Ontario,CA,50.2262,-87.8925,ardac,475.1,False
