id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
AB83,Bowden,,Alberta,CA,51.9332,-114.032,ardac,677.3,False
AB84,Boyle,,Alberta,CA,54.5897,-112.807,ardac,882.4,False
AB85,Bragg Creek,,Alberta,CA,50.9503,-114.57,ardac,611.7,False
AB86,Brant,,Alberta,CA,50.5169,-113.512,ardac,676.4,False
AB87,Breton,,Alberta,CA,53.1101,-114.471,ardac,706.4,False
AB88,Breynat,,Alberta,CA,55.1414,-112.491,ardac,932.5,False
AB89,Bristol Oakes,,Alberta,CA,53.6824,-113.564,ardac,789.3,False
AB90,Brocket,,Alberta,CA,49.5467,-113.75,ardac,642.9,False
AB91,Brooks,,Alberta,CA,50.5672,-111.895,ardac,789.3,False
AB92,Brownfield,,Alberta,CA,52.3172,-111.433,ardac,857.8,False
AB93,Brownvale,,Alberta,CA,56.1282,-117.896,ardac,680.3,False
AB94,Bruce,,Alberta,CA,53.1739,-112.039,ardac,852.2,False
AB95,Bruderheim,,Alberta,CA,53.7997,-112.928,ardac,831.7,False
AB96,Brule,,Alberta,CA,53.284,-117.874,ardac,533.2,False
AB97,Buck Creek,,Alberta,CA,53.1039,-114.896,ardac,682.1,False
AB98,Buck Lake,,Alberta,CA,52.9486,-114.777,ardac,680.0,False
AB99,Buffalo Head Prairie,,Alberta,CA,58.0508,-116.349,ardac,831.0,False
AB100,Buffalo Lake Metis Settlement,,Alberta,CA,54.5791,-112.448,ardac,901.0,False
AB101,Buford,,Alberta,CA,53.2471,-113.927,ardac,745.0,False
AB102,Bulwark,,Alberta,CA,52.2417,-111.587,ardac,845.5,False
AB103,Burdett,,Alberta,CA,49.835,-111.523,ardac,805.6,False
AB104,Burmis,,Alberta,CA,49.5572,-114.288,ardac,604.6,False
AB105,Burnstick Lake,,Alberta,CA,51.9894,-114.892,ardac,625.1,False
AB106,Busby,,Alberta,CA,53.9481,-113.891,ardac,786.1,False
AB107,Byemoor,,Alberta,CA,51.9797,-112.287,ardac,791.9,False
AB108,Cadogan,,Alberta,CA,52.3192,-110.449,ardac,921.8,False
AB109,Cadomin,,Alberta,CA,53.0282,-117.331,ardac,544.7,False
AB110,Cadotte Lake,,Alberta,CA,56.4705,-116.382,ardac,778.9,False
AB111,Calahoo,,Alberta,CA,53.7145,-113.958,ardac,768.9,False
AB112,Calgary,,Alberta,CA,51.0458,-114.057,ardac,648.9,False
AB113,Calling Lake,,Alberta,CA,55.2103,-113.19,ardac,899.0,False
AB115,Calmar,,Alberta,CA,53.2664,-113.809,ardac,752.7,False
AB116,Cambria,,Alberta,CA,51.3939,-112.59,ardac,756.3,False
AB117,Campsie,,Alberta,CA,54.1278,-114.647,ardac,756.8,False
AB118,Camrose,,Alberta,CA,53.0181,-112.839,ardac,797.0,False
AB119,Canmore,,Alberta,CA,51.0928,-115.361,ardac,561.9,False
AB120,Canyon Creek,,Alberta,CA,55.3666,-115.097,ardac,803.9,False
AB121,Canyon Heights,,Alberta,CA,52.2907,-113.704,ardac,712.1,False
AB122,Carbon,,Alberta,CA,51.4858,-113.151,ardac,720.8,False
AB123,Carbondale,,Alberta,CA,53.7464,-113.527,ardac,794.9,False
AB124,Cardiff,,Alberta,CA,53.7728,-113.6,ardac,792.2,False
AB125,Cardston,,Alberta,CA,49.1962,-113.307,ardac,668.4,False
AB126,Carmangay,,Alberta,CA,50.1294,-113.111,ardac,696.4,False
AB127,Caroline,,Alberta,CA,52.0948,-114.738,ardac,639.3,False
AB128,Carseland,,Alberta,CA,50.8544,-113.471,ardac,685.3,False
AB129,Carstairs,,Alberta,CA,51.5656,-114.099,ardac,660.2,False
AB130,Caslan,,Alberta,CA,54.6311,-112.512,ardac,900.6,False
AB131,Cassils,,Alberta,CA,50.5769,-112.046,ardac,779.0,False
AB132,Castor,,Alberta,CA,52.2192,-111.904,ardac,824.2,False
AB133,Cayley,,Alberta,CA,50.4481,-113.847,ardac,651.7,False
AB134,Central Park,,Alberta,CA,52.3309,-113.823,ardac,706.4,False
AB135,Cereal,,Alberta,CA,51.4183,-110.8,ardac,878.2,False
AB136,Cessford,,Alberta,CA,51.0064,-111.557,ardac,819.9,False
AB137,Champion,,Alberta,CA,50.2397,-113.148,ardac,695.7,False
AB138,Chancellor,,Alberta,CA,51.0885,-112.835,ardac,733.3,False
AB139,Chauvin,,Alberta,CA,52.6936,-110.141,ardac,952.6,False
AB140,Cheadle,,Alberta,CA,51.0144,-113.541,ardac,683.5,False
AB141,Cherhill,,Alberta,CA,53.8192,-114.677,ardac,735.8,False
AB142,Cherry Grove,,Alberta,CA,54.3561,-110.075,ardac,1022.5,False
AB143,Chestermere,,Alberta,CA,51.0373,-113.828,ardac,664.3,False
AB144,Chin,,Alberta,CA,49.7635,-112.445,ardac,739.0,False
AB145,Chinook,,Alberta,CA,51.4494,-110.925,ardac,870.3,False
AB146,Chipewyan Lake,,Alberta,CA,56.9403,-113.473,ardac,958.9,False
AB147,Chipewyan Prairie,,Alberta,CA,55.9358,-110.717,ardac,977.0,False
AB148,Chipman,,Alberta,CA,53.6983,-112.638,ardac,842.7,False
AB149,Chisholm,,Alberta,CA,54.9094,-114.169,ardac,829.4,False
AB150,Chokio,,Alberta,CA,49.5819,-113.66,ardac,650.0,False
AB151,Clairmont,,Alberta,CA,55.2614,-118.794,ardac,589.6,False
AB152,Clandonald,,Alberta,CA,53.5719,-110.714,ardac,949.3,False
AB153,Claresholm,,Alberta,CA,50.0197,-113.583,ardac,661.3,False
AB154,Cleardale,,Alberta,CA,56.3558,-119.478,ardac,611.6,False
AB155,Clearwater Estates,,Alberta,CA,53.5694,-114.081,ardac,753.9,False
AB156,Clive,,Alberta,CA,52.4774,-113.445,ardac,736.0,False
AB157,Cluny,,Alberta,CA,50.8411,-112.869,ardac,726.8,False
AB158,Clyde,,Alberta,CA,54.1502,-113.636,ardac,811.8,False
AB159,Coaldale,,Alberta,CA,49.7278,-112.619,ardac,726.2,False
AB160,Coalhurst,,Alberta,CA,49.7467,-112.931,ardac,704.1,False
AB161,Cochrane,,Alberta,CA,51.1897,-114.484,ardac,623.5,False
AB162,Cochrane Lake,,Alberta,CA,51.2434,-114.482,ardac,625.1,False
AB163,Cold Lake,,Alberta,CA,54.4664,-110.188,ardac,1021.4,False
AB164,Coleman,,Alberta,CA,49.6353,-114.503,ardac,590.3,False
AB165,Colinton,,Alberta,CA,54.6206,-113.253,ardac,860.6,False
AB166,College Heights,,Alberta,CA,52.4892,-113.733,ardac,718.8,False
AB167,Collingwood Cove,,Alberta,CA,53.4469,-113.005,ardac,808.5,False
AB168,Compeer,,Alberta,CA,51.8594,-110.013,ardac,939.7,False
AB169,Condor,,Alberta,CA,52.3264,-114.555,ardac,661.0,False
AB170,Conklin,,Alberta,CA,55.6308,-111.09,ardac,1012.9,False
AB171,Connemara,,Alberta,CA,50.4001,-113.829,ardac,651.8,False
AB172,Conrich,,Alberta,CA,51.0933,-113.863,ardac,663.2,False
AB173,Consort,,Alberta,CA,52.0123,-110.771,ardac,892.6,False
AB174,Cooking Lake,,Alberta,CA,53.4114,-113.122,ardac,799.9,False
AB175,Coronado,,Alberta,CA,53.8878,-113.295,ardac,815.6,False
AB176,Coronation,,Alberta,CA,52.0947,-111.448,ardac,850.2,False
AB177,Coutts,,Alberta,CA,49.0028,-111.959,ardac,764.4,False
AB178,Cowley,,Alberta,CA,49.568,-114.074,ardac,620.1,False
AB179,Craigmyle,,Alberta,CA,51.6697,-112.243,ardac,786.2,False
AB180,Cremona,,Alberta,CA,51.5453,-114.485,ardac,634.2,False
AB181,Crossfield,,Alberta,CA,51.4306,-114.031,ardac,660.6,False
AB182,Crystal Meadows,,Alberta,CA,53.5634,-114.168,ardac,748.7,False
AB183,Crystal Springs,,Alberta,CA,52.9733,-114.041,ardac,723.7,False
AB184,Czar,,Alberta,CA,52.4547,-110.828,ardac,901.1,False
AB185,Dalemead,,Alberta,CA,50.8747,-113.637,ardac,674.2,False
AB186,Dalroy,,Alberta,CA,51.1286,-113.669,ardac,677.2,False
AB187,Dapp,,Alberta,CA,54.345,-113.916,ardac,808.8,False
AB188,Dawn Valley,,Alberta,CA,53.6214,-114.02,ardac,760.3,False
AB189,Daysland,,Alberta,CA,52.8673,-112.264,ardac,825.3,False
AB190,De Winton,,Alberta,CA,50.8231,-114.019,ardac,646.9,False
AB191,Deadwood,,Alberta,CA,56.7411,-117.458,ardac,736.2,False
AB192,DeBolt,,Alberta,CA,55.2217,-118.02,ardac,632.9,False
AB193,Del Bonita,,Alberta,CA,49.0294,-112.791,ardac,703.9,False
AB194,Delburne,,Alberta,CA,52.1981,-113.235,ardac,738.1,False
