id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
SK75,Birmingham,,Saskatchewan,CA,50.9735,-102.938,ardac,932.5,False
SK76,Birsay,,Saskatchewan,CA,51.0976,-106.981,ardac,1125.4,False
SK77,Bjorkdale,,Saskatchewan,CA,52.7107,-103.646,ardac,833.9,False
SK78,Black Lake,,Saskatchewan,CA,59.1333,-105.6,ardac,604.9,False
SK79,Black Point,,Saskatchewan,CA,56.3667,-109.45,ardac,907.7,False
SK80,Bladworth,,Saskatchewan,CA,51.3669,-106.137,ardac,1061.1,False
SK81,Blaine Lake,,Saskatchewan,CA,52.8302,-106.881,ardac,989.9,False
SK82,Blumenheim,,Saskatchewan,CA,52.3896,-106.417,ardac,1001.1,False
SK83,Blumenhof,,Saskatchewan,CA,50.0229,-107.7,ardac,1091.6,False
SK84,Blumenthal,,Saskatchewan,CA,52.4818,-106.377,ardac,991.9,False
SK85,Bodmin,,Saskatchewan,CA,53.7544,-106.986,ardac,929.0,False
SK86,Boharm,,Saskatchewan,CA,50.4,-105.717,ardac,1113.0,False
SK87,Borden,,Saskatchewan,CA,52.4056,-107.238,ardac,1039.8,False
SK88,Brabant Lake,,Saskatchewan,CA,56.1167,-103.75,ardac,612.7,False
SK89,Bracken,,Saskatchewan,CA,49.1782,-108.096,ardac,1057.8,False
SK90,Bradwell,,Saskatchewan,CA,51.9477,-106.232,ardac,1025.2,False
SK91,Brancepeth,,Saskatchewan,CA,53.002,-105.262,ardac,897.7,False
SK92,Bredenbury,,Saskatchewan,CA,50.9435,-102.049,ardac,895.0,False
SK93,Brewer,,Saskatchewan,CA,50.9872,-102.7273,ardac,921.7,False
SK94,Briercrest,,Saskatchewan,CA,50.1667,-105.267,ardac,1109.5,False
SK95,Broadview,,Saskatchewan,CA,50.3793,-102.58,ardac,967.4,False
SK96,Brock,,Saskatchewan,CA,51.4421,-108.72,ardac,1033.8,False
SK97,Broderick,,Saskatchewan,CA,51.4883,-106.919,ardac,1094.3,False
SK98,Brownlee,,Saskatchewan,CA,50.7371,-106.018,ardac,1101.9,False
SK99,Bruno,,Saskatchewan,CA,52.2632,-105.524,ardac,965.3,False
SK100,Buchanan,,Saskatchewan,CA,51.7,-102.75,ardac,864.2,False
SK101,Buena Vista,,Saskatchewan,CA,50.7821,-104.942,ardac,1044.2,False
SK102,Buffalo Narrows,,Saskatchewan,CA,55.8661,-108.489,ardac,880.4,False
SK103,Bulyea,,Saskatchewan,CA,50.9854,-104.863,ardac,1024.3,False
SK104,Burgis Beach,,Saskatchewan,CA,51.5431,-102.622,ardac,870.7,False
SK105,Burr,,Saskatchewan,CA,52.042,-105.135,ardac,959.7,False
